見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
県立橋本体育館からのお知らせ,,(2)バレエ・エクササイズ教室,,1月12・26日、2月9・23日、3月9・23日の金曜（全6回）10:30～12:00,県立橋本体育館（橋本市） ,18歳以上, 20人（先着順）,"4,110円",,,申込書（申込先で配布）を会場橋本市北馬場455 電話0736-32-9660,,,,http://www3.cypress.ne.jp/hp10703248/hasitai/hasitai-topA.htm,,,
精神保健福祉専門研修会,,(1)依存症の問題と解決(2)社会参加とアート活動～コミュニティアートの実践より～,,(1)1月25日（木）13:30～14:30 (2)29日（月）13:30～15:00,和歌山ビッグ愛（和歌山市）,精神保健福祉従事者、興味や関心のある方 ,(1)45人(2)90人 （先着順）,,,,ファックスで所定の申込書（申込先、WEBサイトで配布）を(1)1月19日(2)26日までに県精神保健福祉センター電話073-435-5194　ファックス073-435-5193,,,,http://www.pref.wakayama.lg.jp/prefg/040400/050301/index1.html,,,
被災宅地危険度判定士養成講習会,地震などによる二次災害防止のための危険度を判定する技術者を養成,,,(1)2月2日(2)9日 いずれも金曜13:30～16:30,(1)県民文化会館（和歌山市）(2)情報交流センターBig・U（田辺市）,2級施工管理技士（土木・建築・造園）など ,(1)50人(2)30人（先着順）,,,,郵送、ファックスで所定の申込書（申込先、振興局建設部、市町村、WEBサイトで配布）を1月24日までに県庁都市政策課ファックス073-441-3232,,,,http://www.pref.wakayama.lg.jp/prefg/080900/kaihatsu/kaihatsutop/hisaitakuchi/index.html,,,
特定公共賃貸住宅入居者～中堅所得者層向け～,,,,,,,,,"申込用紙配布：2月1～9日9:00～17:00（土日除く）問合先【和歌山市】城北2戸・城北（事故住宅）1戸（3LDK72,000円）",県住宅供給公社 電話073-425-6888,,,,,,,,
県営住宅入居者,申込用紙配布：2月1～9日9:00～17:00（土日除く）配布場所：県住宅供給公社、振興局建設部（海草除く）など【和歌山市】川永2号棟（新築）（＊）60戸／川永1号棟（シルバーハウジング）（＊）・川永1号棟（事故住宅）（＊）・川永23号棟（肢体障害者向・事故住宅）（＊）・今福第一（＊）・今福第二（＊）・千旦10号棟（＊）・栄谷・三葛・西浜（＊） 各1戸県営住宅入居者のイラスト／千旦1～9号棟・西脇グリーン・紀伊（＊） 各2戸【岩出市】鴨沼2～5号棟1戸【紀の川市】長山2戸【紀美野町】野上・小畑（事故住宅）各1戸／小畑2戸【有田市】港・糸我 各2戸【有田川町】吉原1戸／徳田2戸問い合わせ：県住宅供給公社 電話073-425-6888【御坊市】下富安（視覚障害者向）1戸問い合わせ：日高振興局建設部 総務調整課 電話0738-24-2908 【串本町】出雲1戸【すさみ町】すさみ1戸問い合わせ：東牟婁振興局串本建設部 総務用地課 電話0735-62-0755※(＊)はバリアフリー化された住戸※上記は予定であり、確定は2月1日詳しくは要問合せ,,,,,,,,,,,,,,,,,
専門家が教える経営力アップ講座,,,,1月27日（土）13:30～15:30,わかやまビジネススクエア（和歌山市）,県内事業者, 20人（先着順）,,,,ファックスで所定の申込書（申込先、WEBサイトで配布）を日本政策金融公庫和歌山支店電話073-422-3151　ファックス073-432-3411,,,,http://as.chizumaru.com/jfc/detailMap～account=jfc&accmd=0&bid=115,,,
 こころの安全パトロール隊員養成講座（一般向け）,,,,2月10日（土）13:00～17:00,プラザホープ（和歌山市）,,50人（先着順）,"1,000円",,,郵送、ファックス、Eメールで住所、氏名、電話番号を心のSOSサポートネット〒640-0332和歌山市冬野1045電話080-5777-5560　ファックス050-3730-2286,,,,http://cocosapo.net/,,info@cocosapo.net,
「くじらの海、くじらの町」を歩くモニターツアー 第2・3弾,,,,(1)2月4日（日）9:00～13:00(2)18日（日）9:50～14:30,(1)三輪崎漁港駐車場（新宮市）(2)JR古座駅（串本町）※集合・解散,,各20人（抽選）,"1,000円（ガイド料、保険料）",郵送、ファックス、Eメールで所定の申込書（申込先、県庁観光振興課、東牟婁振興局企画産業課、WEBサイトで配布）を(1)1月22日(2)2月5日までに問合先,(1)新宮市まちなか観光情報センター〒647-0014新宮市浮島6-15電話(ファックス)0735-23-2311Eメール　machinaka@zb.ztv.ne.jp (2)串本町観光協会〒649-3505串本町串本33電話0735-62-3171　ファックス0735-62-1070Eメール　info@kankou-kushimoto.jp ,,,,,,,,
白崎青少年の家 ,〒649-1123 由良町大引961-1電話0738-65-2351　ファックス0738-65-2352http://shirasaki.pya.jp/,すいせん祭 ,ピザ作り・陶芸・クラフト・科学・古代・親子ヨガ体験など,1月28日（日）10:00～15:00,,,,,,,,,,,,,,
潮岬青少年の家,〒649-3502　串本町潮岬669電話0735-62-6045　ファックス0735-62-0182http://omoshiro-yh.com/,おもしろらんど「春祭り」 ボランティア ,2月25日に開催する祭りのボランティアを募集,,,中学生以上 ,若干名（先着順）,,1月27日から,,,,,,,,,
県立こころの医療センター看護師,,,採用予定人数：4人程度 ,1月25日（木） ※面接2月14日（水）,県民文化会館（和歌山市）,,,,,,郵送で1月4～16日に県立こころの医療センター〒643-0811有田川町庄31電話0737-52-3221,,昭和53年4月2日以降生まれの有資格者または取得見込者 ,申込先、県庁医務課、WEBサイトなど ,http://www.pref.wakayama.lg.jp/prefg/050112/kangosibosyu.htm,,,
測量士・測量士補,,,,5月20日（日）,大阪府など,,,,,,1月5～29日に国土地理院電話029-864-8214,,,県庁技術調査課、振興局建設部,http://www.gsi.go.jp/,,,
県職員採用説明会,県職員採用I種（大学卒業程度）試験・資格免許職採用試験の概要、業務説明、フリートーク、職場見学,,,3月1日（木）13:00～17:00,県自治会館（和歌山市）,※家族や次年度以降受験を検討している方も参加可,200人（先着順）,,,原則としてインターネットで（郵送の場合は往復ハガキに住所、氏名、年齢、電話番号、志望職種、職場見学希望の有無を）2月9日までに県人事委員会事務局 ,,,,,http://www.pref.wakayama.lg.jp/prefg/210100/saiyousetumeikai.html,,,
市町村立小・中学校、県立学校の補充講師など,,,試験区分：講師、事務職員、栄養士応募資格：それぞれに必要な資格・免許を有する方,市町村立小・中学校、県立学校の補充講師など,,,,,,,郵送、持参で県教育庁学校人事課,,,WEBサイト,http://www.pref.wakayama.lg.jp/prefg/500800/500800.html,,,
